Adj Close	Company Name	Date	记录数	Ticker
12.86	"Sourcefire"	2014-07-01 00:00:00.000	"1"	"FIRE"
12.74	"Sourcefire"	2014-07-02 00:00:00.000	"1"	"FIRE"
12.17	"Sourcefire"	2014-07-06 00:00:00.000	"1"	"FIRE"
11.83	"Sourcefire"	2014-07-07 00:00:00.000	"1"	"FIRE"
11.81	"Sourcefire"	2014-07-08 00:00:00.000	"1"	"FIRE"
12.15	"Sourcefire"	2014-07-09 00:00:00.000	"1"	"FIRE"
12.52	"Sourcefire"	2014-07-10 00:00:00.000	"1"	"FIRE"
12.68	"Sourcefire"	2014-07-13 00:00:00.000	"1"	"FIRE"
12.58	"Sourcefire"	2014-07-14 00:00:00.000	"1"	"FIRE"
13.11	"Sourcefire"	2014-07-15 00:00:00.000	"1"	"FIRE"
13.38	"Sourcefire"	2014-07-16 00:00:00.000	"1"	"FIRE"
13.13	"Sourcefire"	2014-07-17 00:00:00.000	"1"	"FIRE"
13.24	"Sourcefire"	2014-07-20 00:00:00.000	"1"	"FIRE"
13.31	"Sourcefire"	2014-07-21 00:00:00.000	"1"	"FIRE"
13.36	"Sourcefire"	2014-07-22 00:00:00.000	"1"	"FIRE"
13.81	"Sourcefire"	2014-07-23 00:00:00.000	"1"	"FIRE"
13.86	"Sourcefire"	2014-07-24 00:00:00.000	"1"	"FIRE"
13.52	"Sourcefire"	2014-07-27 00:00:00.000	"1"	"FIRE"
13.59	"Sourcefire"	2014-07-28 00:00:00.000	"1"	"FIRE"
13.93	"Sourcefire"	2014-07-29 00:00:00.000	"1"	"FIRE"
16.57	"Sourcefire"	2014-07-30 00:00:00.000	"1"	"FIRE"
17.64	"Sourcefire"	2014-07-31 00:00:00.000	"1"	"FIRE"
17.16	"Sourcefire"	2014-08-03 00:00:00.000	"1"	"FIRE"
18.25	"Sourcefire"	2014-08-04 00:00:00.000	"1"	"FIRE"
18.25	"Sourcefire"	2014-08-05 00:00:00.000	"1"	"FIRE"
18.26	"Sourcefire"	2014-08-06 00:00:00.000	"1"	"FIRE"
18.94	"Sourcefire"	2014-08-07 00:00:00.000	"1"	"FIRE"
18.63	"Sourcefire"	2014-08-10 00:00:00.000	"1"	"FIRE"
19.35	"Sourcefire"	2014-08-11 00:00:00.000	"1"	"FIRE"
19.77	"Sourcefire"	2014-08-12 00:00:00.000	"1"	"FIRE"
19.99	"Sourcefire"	2014-08-13 00:00:00.000	"1"	"FIRE"
20.07	"Sourcefire"	2014-08-14 00:00:00.000	"1"	"FIRE"
18.81	"Sourcefire"	2014-08-17 00:00:00.000	"1"	"FIRE"
18.98	"Sourcefire"	2014-08-18 00:00:00.000	"1"	"FIRE"
18.79	"Sourcefire"	2014-08-19 00:00:00.000	"1"	"FIRE"
18.96	"Sourcefire"	2014-08-20 00:00:00.000	"1"	"FIRE"
19.97	"Sourcefire"	2014-08-21 00:00:00.000	"1"	"FIRE"
19.78	"Sourcefire"	2014-08-24 00:00:00.000	"1"	"FIRE"
19.64	"Sourcefire"	2014-08-25 00:00:00.000	"1"	"FIRE"
19.37	"Sourcefire"	2014-08-26 00:00:00.000	"1"	"FIRE"
19.35	"Sourcefire"	2014-08-27 00:00:00.000	"1"	"FIRE"
19.09	"Sourcefire"	2014-08-28 00:00:00.000	"1"	"FIRE"
19	"Sourcefire"	2014-08-31 00:00:00.000	"1"	"FIRE"
18.42	"Sourcefire"	2014-09-01 00:00:00.000	"1"	"FIRE"
17.75	"Sourcefire"	2014-09-02 00:00:00.000	"1"	"FIRE"
18.5	"Sourcefire"	2014-09-03 00:00:00.000	"1"	"FIRE"
18.93	"Sourcefire"	2014-09-04 00:00:00.000	"1"	"FIRE"
19.11	"Sourcefire"	2014-09-08 00:00:00.000	"1"	"FIRE"
19.06	"Sourcefire"	2014-09-09 00:00:00.000	"1"	"FIRE"
19.24	"Sourcefire"	2014-09-10 00:00:00.000	"1"	"FIRE"
19.65	"Sourcefire"	2014-09-11 00:00:00.000	"1"	"FIRE"
19.88	"Sourcefire"	2014-09-14 00:00:00.000	"1"	"FIRE"
21.63	"Sourcefire"	2014-09-15 00:00:00.000	"1"	"FIRE"
21.99	"Sourcefire"	2014-09-16 00:00:00.000	"1"	"FIRE"
21.49	"Sourcefire"	2014-09-17 00:00:00.000	"1"	"FIRE"
16.14	"Symantec"	2012-12-31 00:00:00.000	"1"	"SYMC"
16.06	"Symantec"	2013-01-02 00:00:00.000	"1"	"SYMC"
16.09	"Symantec"	2013-01-03 00:00:00.000	"1"	"SYMC"
15.72	"Symantec"	2013-01-04 00:00:00.000	"1"	"SYMC"
15.44	"Symantec"	2013-01-07 00:00:00.000	"1"	"SYMC"
15.67	"Symantec"	2013-01-08 00:00:00.000	"1"	"SYMC"
15.59	"Symantec"	2013-01-09 00:00:00.000	"1"	"SYMC"
15.57	"Symantec"	2013-01-10 00:00:00.000	"1"	"SYMC"
15.27	"Symantec"	2013-01-11 00:00:00.000	"1"	"SYMC"
15.67	"Symantec"	2013-01-14 00:00:00.000	"1"	"SYMC"
15.4	"Symantec"	2013-01-15 00:00:00.000	"1"	"SYMC"
15.99	"Symantec"	2013-01-16 00:00:00.000	"1"	"SYMC"
15.27	"Symantec"	2013-01-17 00:00:00.000	"1"	"SYMC"
15.18	"Symantec"	2013-01-18 00:00:00.000	"1"	"SYMC"
15.02	"Symantec"	2013-01-22 00:00:00.000	"1"	"SYMC"
